district_id,cell_row,cell_col,weight
24,6,11,0.0005684367940413589
24,6,13,0.1620958721797845
24,7,13,0.04244523033664656
24,7,12,0.12844140259022616
25,10,16,0.9428225835832976
25,11,16,0.057177416416702306
26,10,16,0.08690352739626937
26,11,16,0.9130964726037306
27,9,14,1.0
521,9,15,1.0
28,7,10,0.0018767021364344517
28,7,12,0.15006824917315179
28,7,11,0.7611934716321748
28,8,12,0.01660900218133979
28,8,11,0.07025257487689916
0,0,26,1.0
1,5,25,1.0
2,4,25,0.7850544883653892
2,5,25,0.21494551163461081
29,20,30,0.11899160200546534
29,20,29,0.24933688479363167
29,21,29,0.44037637358166226
29,21,30,0.1912951396192406
31,19,28,0.02223821789939973
31,20,28,0.23608520554971213
31,20,30,0.0440817642117953
31,20,29,0.6975948123390928
32,21,29,0.2786489873023941
32,21,28,0.4149927691723777
32,22,28,0.19325218593386342
32,22,29,0.1131060575913647
33,20,25,0.5684377876439147
33,20,26,0.4315622123560853
34,20,28,0.408135160098273
34,21,28,0.591864839901727
38,20,25,0.04976807284639641
38,20,26,0.41798072343610615
38,21,25,0.14656515288788946
38,21,26,0.3856860508296079
42,20,28,0.06418315682425482
42,21,29,0.2557854300889324
42,21,28,0.6800314130868127
47,19,26,0.049346600327094224
47,20,26,0.9088662315197564
47,20,27,0.041787168153149305
50,20,25,0.44666209123936673
50,20,24,0.5533379087606333
51,19,28,0.45376870287737714
51,20,28,0.546231297122623
52,21,27,0.29562901917338746
52,21,28,0.4054185848219319
52,22,28,0.05320410812615822
52,22,27,0.2457482878785224
53,20,26,0.0022393631534572485
53,20,27,0.09421350495739766
53,21,27,0.33209134837130194
53,21,26,0.5714557835178432
54,19,25,0.10244499903887687
54,20,25,0.8975550009611232
48,21,27,0.9344466836305687
48,21,26,0.012115238510899178
48,22,27,0.0534380778585321
45,20,28,0.4051551686575977
45,20,29,0.5948448313424023
55,20,27,0.006250370225536146
55,21,27,0.9937496297744638
49,21,27,0.7737939068726584
49,21,28,0.22620609312734166
41,19,28,0.8646509803745415
41,20,28,0.1353490196254585
46,19,25,0.027975312267358964
46,19,26,0.13229405809745917
46,20,25,0.33168089043934157
46,20,26,0.5080497391958403
43,20,27,0.8338132339789837
43,21,27,0.024133862956597713
43,20,28,0.12888337938641614
43,21,28,0.013169523678002566
39,20,27,0.8487754883719332
39,21,27,0.1512245116280668
30,20,25,1.0
37,20,26,0.5238239655516601
37,21,26,0.47617603444833984
35,20,26,0.19070151596088622
35,20,27,0.8092984840391138
36,20,26,0.9656199928912962
36,20,27,0.03438000710870382
44,20,26,0.9991715660527428
44,20,27,0.0008284339472571757
78,19,23,0.7202965698566501
78,19,22,0.27970343014334986
63,19,23,1.0
89,19,25,0.5217659394522053
89,19,24,0.4782340605477948
57,19,23,0.1772442888221998
57,19,24,0.8227557111778002
66,18,23,0.06393007415380239
66,18,22,0.15533245462465947
66,19,23,0.4434802366496344
66,19,22,0.3372572345719037
64,19,25,0.537796096666298
64,19,24,0.4622039033337019
76,18,26,0.27357783275154
76,19,25,0.04497808188529225
76,19,26,0.6814440853631678
68,17,26,0.0026411764282156798
68,18,26,0.5483491805405412
68,18,25,0.44900964303124313
61,17,26,0.21515248715220686
61,17,25,0.6162032045998374
61,18,26,0.012071651051361246
61,18,25,0.15657265719659466
77,17,25,1.0
71,17,25,1.0
90,18,26,0.005642377172951806
90,18,25,0.857479752317759
90,19,25,0.13687787050928912
73,19,27,0.9963519059918688
73,19,26,0.0036480940081310893
70,18,26,0.0870652335747165
70,19,27,0.16880889652823972
70,19,26,0.7441258698970438
85,19,25,0.9792970482914989
85,20,25,0.02070295170850123
65,20,27,0.7344402641078395
65,20,28,0.26555973589216053
62,19,27,0.11567477746054122
62,20,27,0.29452457116314645
62,19,28,0.074101744356939
62,20,28,0.5156989070193734
88,20,28,0.9993832428917576
88,20,29,0.0006167571082424175
79,19,27,0.019538053985547272
79,19,26,0.11658807694996982
79,20,26,0.18392135217933633
79,20,27,0.6799525168851466
80,19,27,0.4507664786363072
80,19,26,0.26182355331680834
80,20,27,0.2874099680468845
84,19,27,0.6011218010721139
84,20,27,0.39887819892788623
82,18,25,0.009305623358293876
82,19,25,0.8594844159636459
82,19,26,0.13120996067806034
81,19,25,0.9942674840260982
81,19,24,0.0057325159739019076
74,19,25,0.28354918834256115
74,18,24,0.00018169661844223247
74,19,24,0.7162691150389966
83,19,24,1.0
69,18,24,0.03723015848643812
69,18,23,0.2332934947660267
69,19,23,0.7062233247191647
69,19,24,0.023253022028370266
60,19,23,1.0
75,18,24,0.32891777177749126
75,19,23,0.007659751851303746
75,19,24,0.6634224763712051
67,20,27,0.40052964999354845
67,20,28,0.5994703500064515
72,18,26,0.36783268008720676
72,18,25,0.19028434353429002
72,19,25,0.36150923980024013
72,19,26,0.080373736578263
87,19,24,1.0
59,19,25,0.06058528560292472
59,19,26,0.9394147143970752
58,19,23,0.622811193539323
58,19,24,0.377188806460677
56,19,23,0.012505032809507797
56,19,24,0.9874949671904921
86,18,23,0.014404290608342462
86,18,22,0.9855957093916575
91,18,20,0.05861652752311906
91,19,20,0.941383472476881
92,18,17,1.0
93,17,17,0.8799235719632864
93,18,17,0.12007642803671353
94,17,20,0.14305595262060747
94,17,19,0.6709053567251084
94,18,19,0.13105309279516814
94,18,20,0.05498559785911599
95,18,19,0.7948478244062792
95,18,18,0.2051521755937207
96,18,19,0.3811930705769478
96,18,20,0.6188069294230522
97,18,17,1.0
98,18,16,0.2782037822262506
98,18,17,0.7217962177737495
99,18,19,0.25592133702139097
99,18,18,0.018890038237192913
99,19,18,0.4039183296145347
99,19,19,0.3212702951268813
100,17,18,0.4140742325907564
100,17,17,0.534931399940092
100,18,18,0.0222613654247009
100,18,17,0.028733002044450586
101,19,17,0.9607974642477293
101,19,16,0.0392025357522707
102,17,18,0.0011989176833808472
102,17,17,0.003884698376867717
102,18,18,0.5489608069820403
102,18,17,0.44595557695771126
103,17,18,0.0652326051441561
103,17,19,0.8569697074813815
103,18,19,0.07581970903977536
103,18,18,0.0019779783346872033
104,17,16,0.4917392388009099
104,18,16,0.5082607611990901
105,18,20,0.9655397704074994
105,18,21,0.03446022959250067
106,18,19,1.0
107,19,21,0.3488148805312026
107,19,20,0.6511851194687974
108,17,18,0.0032578112855398784
108,17,19,0.022019511291299462
108,18,19,0.8470581530554524
108,18,18,0.12766452436770834
109,18,19,0.6626425800726685
109,18,20,0.12801845185834393
109,19,20,0.03687521600960597
109,19,19,0.17246375205938164
110,19,18,0.19667595893201548
110,19,19,0.8033240410679845
111,17,19,0.03826554904323943
111,18,19,0.9617344509567607
112,18,18,0.08925983344285851
112,18,17,0.0002297545723560856
112,19,17,0.09695146202780022
112,19,18,0.8135589499569851
113,17,18,0.012572555921368784
113,18,18,0.9874274440786313
114,17,18,0.9183185538895833
114,17,19,0.007459048375479521
114,18,18,0.07422239773493725
115,19,17,0.37457830221299965
115,20,16,0.06056914218781855
115,20,17,0.5648525555991818
116,18,19,0.012783506764988125
116,18,18,0.6268671139264549
116,18,17,0.360349379308557
117,19,17,0.6409186670220697
117,20,17,0.0032189716545839046
117,19,18,0.3558623613233464
118,18,19,0.0004995888373425559
118,18,20,0.9243489199998464
118,19,20,0.07515149116281095
119,17,16,0.33669635935238934
119,17,17,0.14557866352475812
